inscription_id,source_corpus,provenance_source_url,site_find_place,region,object_type,support_material,classification,formula_class,inscription_length,line_count,sign_count,word_count,sign_inventory_used,estimated_date_period,find_context,libation_formula_candidate,accounting_candidate,ideogram_presence,numeral_presence,damage_unreadability_level,confidence_provenance_notes
ARKH 5,local_merged_sigla_younger_internal,http://sigla.phis.me/document/ARKH%205/index-word.html; https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,ARKH,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,19,7,19,19,A AB01 AB02 AB06 AB08 AB30 AB51 AB59 DA DU GRA NA NI RO TA VINB,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,1,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
ARKH 6,local_merged_sigla_younger_internal,http://sigla.phis.me/document/ARKH%206/index-word.html; https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,ARKH,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,9,4,9,9,AB01 AB06 AB53 AB69 AB81 DA NA TU [?],Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.1111,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
GO 2,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,GO,unknown,unclassified,clay_or_object_unknown,unknown,short_mark_or_label,5,2,5,5,DA RO SE SI SI[,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
GO WC 1,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,GO,unknown,sealed_document_or_roundel,clay_or_object_unknown,unknown,short_mark_or_label,2,1,2,2,B BOSM,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
GO WC 1A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/GO%20Wc%201a/index-word.html,GO,unknown,sealed_document_or_roundel,clay_or_object_unknown,unknown,unclassified,6,1,6,6,AB08 AB09 AB28 AB31 AB58 AB80,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
GO WC 3,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,GO,unknown,sealed_document_or_roundel,clay_or_object_unknown,unknown,short_mark_or_label,1,1,1,1,NEW,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HS ZG 1,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HS%20Zg%201/index-word.html,HS,unknown,inscription_or_vessel,clay_or_object_unknown,ritual_or_display_possible,short_mark_or_label,2,1,2,2,AB08 AB80,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,1,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 1,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%201/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,36,11,36,36,A AB02 AB06 AB07 AB08 AB10 AB17 AB27 AB44 AB55 AB56 AB58 AB60 AB67 AB76 AB78 AB79 AB81 DI KE KI KU NA NU PA3 QE RA RA2 RE RO SU U ZA ZU,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 10,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,25,10,25,25,DA KA KU MA ME NA NI RE RI RU SA SU TA TI U ZA,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 100,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%20100/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,22,12,22,22,*313A A AB02 AB31 AB76 AB81 FIC KA KU MI NE OLE RA2 RO SA TI U VINA VIR ]VIR,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,1,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 101,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%20101/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,administrative,commodity_accounting,29,16,29,29,22F AB07 AB22F AB31 AB56 AB76 AB79 AB81 DI GRA KI KU MI OLE OLIV PA3 QE RA2 SA TU U ZU,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,1,1,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 102,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%20102/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,36,17,36,36,AB02 AB03 AB06 AB07 AB28 AB30 AB31 AB53 AB56 AB76 AB77 AB79 AB80 AB81 DI GRA I KA KU MA NA NI PA PA3 RA2 RI RO SA ZU ]VIR,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,1,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 103,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%20103/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,33,12,33,33,AB01 AB06 AB09 AB10 AB24 AB56 AB60 AB66 AB67 AB81 DA FIC KI KU NA NE NE[ PA3 RA SE TA2 U,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,1,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 104,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%20104/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,34,11,34,34,AB01 AB02 AB03 AB09 AB24 AB28 AB37 AB51 AB58 AB59 AB81 DA DU I KU NE PA RO SE SU TA TE TI,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 105,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,6,4,6,6,KA PA[ RA2 SA VIR ]VIR,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 106,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,3,1,3,3,MI NU TE,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
